"ID",管理コード,名前,略名,店舗名,説明,表示順序,適用開始日,適用終了日,有効フラグ,作成日時,作成者,更新日時,更新者
13575,,"物販","物販","LUXAS+中目黒","",0,2018-11-01,,有効,2018-11-01 09:14:44,株式会社　東邦_user,2018-11-01 09:14:44,株式会社　東邦_user
13576,,"物販","物販","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","",0,2018-11-01,,有効,2018-11-01 09:14:44,株式会社　東邦_user,2018-11-01 09:14:44,株式会社　東邦_user
13577,,"物販","物販","LUXAS五反田東口（ラクサス五反田東口）","",0,2018-11-01,,有効,2018-11-01 09:14:44,株式会社　東邦_user,2018-11-01 09:14:44,株式会社　東邦_user
13578,,"物販","物販","LUXAS錦糸町(ラクサス錦糸町)","",5,2018-11-01,,有効,2018-11-01 09:14:44,株式会社　東邦_user,2019-09-22 14:22:42,株式会社　東邦_user
13579,,"物販","物販","LUXAS五反田西口（ラクサス五反田西口）","",0,2018-11-01,,有効,2018-11-01 09:14:44,株式会社　東邦_user,2018-11-01 09:14:44,株式会社　東邦_user
13580,,"物販","物販","LUXAS+（ラクサスプラス）横浜元町中華街","",0,2018-11-01,,有効,2018-11-01 09:14:44,株式会社　東邦_user,2018-11-01 09:14:44,株式会社　東邦_user
13581,,"物販","物販","LUXAS 新橋","",0,2018-11-01,,有効,2018-11-01 09:14:44,株式会社　東邦_user,2018-11-01 09:14:44,株式会社　東邦_user
13592,,"ポイントカード再発行手数料","発行手数料","LUXAS+（ラクサスプラス）横浜元町中華街","",0,2018-11-01,,有効,2018-11-01 10:48:15,株式会社　東邦_user,2018-11-01 10:48:15,株式会社　東邦_user
14086,,"福袋６０分施術券","福袋６０分施術券","LUXAS錦糸町(ラクサス錦糸町)","",3,2018-12-29,2018-12-29,無効,2018-12-29 23:00:40,ほぐし家 錦糸町店_user,2018-12-29 23:02:26,ほぐし家 錦糸町店_user
14087,,"福袋６０分施術券","福袋６０分施術券","LUXAS錦糸町(ラクサス錦糸町)","",29,2018-12-29,2018-12-29,無効,2018-12-29 23:22:25,ほぐし家 錦糸町店_user,2018-12-29 23:25:20,ほぐし家 錦糸町店_user
14088,,"福袋６０分施術券","福袋６０分施術券","LUXAS錦糸町(ラクサス錦糸町)","",34,2018-12-29,2018-12-29,無効,2018-12-29 23:23:54,ほぐし家 錦糸町店_user,2018-12-29 23:25:03,ほぐし家 錦糸町店_user
14089,,"福袋６０分施術券","福袋６０分施術券","LUXAS錦糸町(ラクサス錦糸町)","",24,2018-12-29,2018-12-29,無効,2018-12-29 23:30:33,ほぐし家 錦糸町店_user,2018-12-29 23:31:37,ほぐし家 錦糸町店_user
14098,,"回数券利用","回数券利用","LUXAS五反田東口（ラクサス五反田東口）","",0,2019-01-02,,有効,2019-01-02 12:13:22,五反田エリア_user,2019-01-02 12:13:22,五反田エリア_user
14099,,"回数券販売","回数券販売","LUXAS五反田東口（ラクサス五反田東口）","",0,2019-01-02,,有効,2019-01-02 12:58:02,五反田エリア_user,2019-01-02 12:58:02,五反田エリア_user
14322,,"イベント","イベント","LUXAS五反田東口（ラクサス五反田東口）","",0,2019-02-01,,有効,2019-02-01 16:48:21,五反田エリア_user,2019-02-01 16:57:59,五反田エリア_user
14691,,"ゲリラ割引600","ゲリラ割引600","LUXAS錦糸町(ラクサス錦糸町)","",31,2019-04-12,2019-04-12,無効,2019-04-12 18:27:40,ほぐし家 錦糸町店_user,2019-04-12 18:28:16,ほぐし家 錦糸町店_user
14692,,"ゲリラ割引６００","ゲリラ割引","LUXAS錦糸町(ラクサス錦糸町)","",30,2019-04-12,2019-04-12,無効,2019-04-12 18:30:14,ほぐし家 錦糸町店_user,2019-04-12 18:30:29,ほぐし家 錦糸町店_user
14731,,"改元福袋","改元福袋","LUXAS錦糸町(ラクサス錦糸町)","",2,2019-04-20,2019-04-20,無効,2019-04-20 20:44:20,ほぐし家 錦糸町店_user,2019-04-20 20:44:54,ほぐし家 錦糸町店_user
18238,,"物販","物販","LUXAS L 溝の口 (ラクサスエル溝の口)","",0,2018-11-01,,有効,2020-03-02 11:20:27,株式会社　東邦_user,2020-03-02 11:20:27,株式会社　東邦_user
18239,,"プリペイド利用","プリペイド利用","LUXAS L 溝の口 (ラクサスエル溝の口)","",0,2015-11-01,,有効,2020-03-02 11:33:02,株式会社　東邦_user,2020-03-02 11:33:02,株式会社　東邦_user
18240,,"プリペイド販売","プリペイド販売","LUXAS L 溝の口 (ラクサスエル溝の口)","",0,2015-11-01,,有効,2020-03-02 11:38:41,株式会社　東邦_user,2020-03-02 11:38:41,株式会社　東邦_user
18850,,"受付","受付","LUXAS五反田東口（ラクサス五反田東口）","",0,2020-06-16,,有効,2020-06-16 16:24:19,株式会社　東邦_user,2020-06-16 16:24:19,株式会社　東邦_user
19423,,"チケット利用","チケット利用","LUXAS L 溝の口 (ラクサスエル溝の口)","",0,2016-01-01,,有効,2020-08-21 09:36:09,株式会社　東邦_user,2020-08-21 09:36:09,株式会社　東邦_user
21136,,"プリペイド利用","プリペイド利用","Fudan-Ism（ふだんイズム）","",0,2021-02-22,,有効,2021-02-22 08:47:42,株式会社　東邦_user,2021-02-22 08:47:42,株式会社　東邦_user
21143,,"回数券利用","回数券利用","Fudan-Ism（ふだんイズム）","",1,2021-02-22,,有効,2021-02-22 19:02:38,株式会社　東邦_user,2021-02-22 19:02:38,株式会社　東邦_user
21144,,"プリペイド販売","プリペイド販売","Fudan-Ism（ふだんイズム）","",2,2021-02-22,,有効,2021-02-22 19:03:10,株式会社　東邦_user,2021-02-22 19:03:10,株式会社　東邦_user
21145,,"回数券販売","回数券販売","Fudan-Ism（ふだんイズム）","",3,2021-02-22,,有効,2021-02-22 19:03:33,株式会社　東邦_user,2021-02-22 19:03:33,株式会社　東邦_user
21146,,"物販","物販","Fudan-Ism（ふだんイズム）","",4,2021-02-22,,有効,2021-02-22 19:03:44,株式会社　東邦_user,2021-02-22 19:03:44,株式会社　東邦_user
23352,,"回数券販売","回数券販売","LUXAS五反田西口（ラクサス五反田西口）","",0,2021-11-19,,有効,2021-11-19 10:54:53,株式会社　東邦_user,2021-11-19 10:54:53,株式会社　東邦_user
23353,,"回数券利用","回数券利用","LUXAS五反田西口（ラクサス五反田西口）","",0,2021-11-19,,有効,2021-11-19 10:55:11,株式会社　東邦_user,2021-11-19 10:55:11,株式会社　東邦_user
24804,,"１","１","Fudan-Ism（ふだんイズム）","",0,2022-07-02,2022-07-02,無効,2022-07-02 16:18:18,Fudan-Ism（ふだんイズム）_user,2022-07-02 16:18:31,Fudan-Ism（ふだんイズム）_user
25339,,"シャンプー回数券販売","シャンプー回数券販売","LUXASプレミアム 溝の口（ラクサス プレミアム溝の口）","",0,2022-10-22,,有効,2022-10-22 15:09:01,株式会社　東邦_user,2022-10-22 15:09:01,株式会社　東邦_user
